#name,cta_id,longitude,latitude
18th,40830,-87.669147,41.857908
35th-Bronzeville-IIT,41120,-87.625826,41.831677
35th/Archer,40120,-87.680622,41.829353
43rd,41270,-87.619021,41.816462
47th-Green,41080,-87.618826,41.809209
47th-Red,41230,-87.63094,41.810318
51st,40130,-87.618487,41.80209
54th/Cermak,40580,-87.75669201,41.85177331
63rd,40910,-87.630952,41.780536
69th,40990,-87.625724,41.768367
79th,40240,-87.625112,41.750419
87th,41430,-87.624717,41.735372
95th,40450,-87.624342,41.722377
Adams/Wabash,40680,-87.626037,41.879507
Addison-Blue,41240,-87.71906,41.94738
Addison-Brown,41440,-87.674642,41.947028
Addison-Red,41420,-87.653626,41.947428
Argyle,41200,-87.65853,41.973453
Armitage,40660,-87.652644,41.918217
Ashland/63rd,40290,-87.663766,41.77886
Ashland-Lake,40170,-87.666969,41.885269
Ashland-Orange,41060,-87.665317,41.839234
Austin-Blue,40010,-87.776812,41.870851
Austin-Green,41260,-87.774135,41.887293
Belmont-Red/Brown/Purple,41320,-87.65338,41.939751
Belmont-Blue,40060,-87.712359,41.938132
Berwyn,40340,-87.658668,41.977984
Bryn Mawr,41380,-87.65884,41.983504
California-Cermak,40440,-87.694774,41.854109
California-Green,41360,-87.696234,41.88422
California-O'Hare,40570,-87.69689,41.921939
Central Park,40780,-87.714842,41.853839
Central-Green,40280,-87.76565,41.887389
Central-Purple,41250,-87.685617,42.063987
Cermak-Chinatown,41000,-87.630968,41.853206
Chicago-Blue,41410,-87.655214,41.896075
Chicago-Brown,40710,-87.635924,41.89681
Chicago-Red,41450,-87.628176,41.896671
Cicero-Cermak,40420,-87.745336,41.85182
Cicero-Forest Park,40970,-87.745154,41.871574
Cicero-Green,40480,-87.744698,41.886519
Clark/Division,40630,-87.631412,41.90392
Clark/Lake,40380,-87.630886,41.885737
Clinton-Blue,40430,-87.640984,41.875539
Clinton-Green,41160,-87.641782,41.885678
Conservatory,41670,-87.716523,41.884904
Cottage Grove,40720,-87.605857,41.780309
Cumberland,40230,-87.838028,41.984246
Damen-Brown,40090,-87.678639,41.966286
Damen-Cermak,40210,-87.675975,41.854517
Damen-O'Hare,40590,-87.677437,41.909744
Davis,40050,-87.683543,42.04771
Dempster,40690,-87.681602,42.041655
Diversey,40530,-87.653131,41.932732
Division,40320,-87.666496,41.903355
Forest Park,40390,-87.817318,41.874257
Foster,40520,-87.68356,42.05416
Francisco,40870,-87.701644,41.966046
Fullerton,41220,-87.652866,41.925051
